timestamp,payload_size,did_time,vc_time,revoke_time
2025-05-26 20:09:09,100,.808056359,.651329297,.829452617
2025-05-26 20:09:09,200,.989505615,.632620696,.872750674
2025-05-26 20:09:09,300,1.005288649,.617074743,.863098911
2025-05-26 20:09:09,400,.750849454,.646195192,.858627856
2025-05-26 20:09:09,500,.993399023,.613053741,.872385663
2025-05-26 20:09:22,100,.847305179,.588089882,.843981665
2025-05-26 20:09:22,200,.712058584,.588295148,.966523910
2025-05-26 20:09:22,300,.978594469,.604083450,.854745502
2025-05-26 20:09:22,400,.502031701,.625365459,.373881742
2025-05-26 20:09:22,500,.749673763,.564453356,.930311245
2025-05-26 20:09:33,100,.489839463,.577457755,.411245476
2025-05-26 20:09:33,200,.527109859,.257923853,.954312702
2025-05-26 20:09:33,300,.774957029,.587695694,.381153059
2025-05-26 20:09:33,400,.741109084,.669799119,.835812481
2025-05-26 20:09:33,500,.505303606,.568529747,.715299952
2025-05-26 20:09:43,100,.934602291,.581888684,.932516233
2025-05-26 20:09:43,200,.741639123,.629127948,.920682397
2025-05-26 20:09:43,300,.478440024,.235497045,1.006627450
2025-05-26 20:09:43,400,.968194429,.251841116,.515358028
2025-05-26 20:09:43,500,1.007272828,.253159530,.467993357
2025-05-26 20:09:54,100,.482027532,.258774180,.517775294
2025-05-26 20:09:54,200,.704956428,.241382611,.755142300
2025-05-26 20:09:54,300,.738358517,.260436372,.484489069
2025-05-26 20:09:54,400,.752245448,.612620172,.928608131
2025-05-26 20:09:54,500,.465932425,.280920735,.454245702
2025-05-26 20:10:03,100,.485675213,.578049005,.462712893
2025-05-26 20:10:03,200,.997504241,.252146244,.447087012
2025-05-26 20:10:03,300,1.024047619,.623793670,.840346795
2025-05-26 20:10:03,400,.543587199,.242956825,.497911366
2025-05-26 20:10:03,500,.493856733,.599100323,.875241377
2025-05-26 20:10:13,100,1.020807080,.581907729,.635973325
2025-05-26 20:10:13,200,.473527300,.251849640,.538573200
2025-05-26 20:10:13,300,.507307841,.251304266,.445501205
2025-05-26 20:10:13,400,.781023336,.258185829,.456326545
2025-05-26 20:10:13,500,.994297140,.239883892,.506577143
2025-05-26 20:10:22,100,.510741299,.284212051,.434520260
2025-05-26 20:10:22,200,.780027960,.557246016,.430387675
2025-05-26 20:10:22,300,1.023269508,.582158834,.862643834
2025-05-26 20:10:22,400,.506250358,.647960956,.353120885
2025-05-26 20:10:22,500,.510594930,.259997485,.697989773
2025-05-26 20:10:32,100,.766497977,.239902267,.476427983
2025-05-26 20:10:32,200,.515125874,.248127312,.477725891
2025-05-26 20:10:32,300,.527734136,.243639041,.479335852
2025-05-26 20:10:32,400,.757871972,.279034107,.988267392
2025-05-26 20:10:32,500,.956563223,.262286388,.530419862
2025-05-26 20:10:41,100,.456485268,.244896335,.504584176
2025-05-26 20:10:41,200,.995343794,.616350383,.399267723
2025-05-26 20:10:41,300,.469375702,.292310350,.474120614
2025-05-26 20:10:41,400,.734456523,.590009971,.416036190
2025-05-26 20:10:41,500,.534996083,.300185938,.898069991
2025-05-26 20:10:50,100,.506083027,.238293926,.498195799
2025-05-26 20:10:50,200,.500565562,.307911100,.429358057
2025-05-26 20:10:50,300,.525651597,.256135354,.464925777
2025-05-26 20:10:50,400,.482916460,.327905774,.919876011
2025-05-26 20:10:50,500,.746237032,.627078127,.389457463
2025-05-26 20:10:58,100,.469697336,.234948067,.532180299
2025-05-26 20:10:58,200,.988496825,.238255423,.514750755
2025-05-26 20:10:58,300,.494579790,.628981520,.838740962
2025-05-26 20:10:58,400,.765195269,.268364639,.876521460
2025-05-26 20:10:58,500,.566313081,.276870355,.399036074
2025-05-26 20:11:07,100,.515634055,.639518267,.602846912
2025-05-26 20:11:07,200,.517335149,.234091698,.513110785
2025-05-26 20:11:07,300,.509150879,.243390235,.714925965
2025-05-26 20:11:07,400,.582874165,.554850177,.381375771
2025-05-26 20:11:07,500,.728097939,.612958105,.413015690
2025-05-26 20:11:16,100,.460095140,.236275307,.785925306
2025-05-26 20:11:16,200,.515455282,.583281123,.369940460
2025-05-26 20:11:16,300,1.015913952,.252392725,.468725176
2025-05-26 20:11:16,400,.479957998,.612894665,.920101704
2025-05-26 20:11:16,500,.471046489,.259461691,.494965560
2025-05-26 20:11:25,100,.777013520,.252013617,.481901740
2025-05-26 20:11:25,200,.709743300,.233509090,.528918256
2025-05-26 20:11:25,300,1.048307140,.264088756,.448015028
2025-05-26 20:11:25,400,1.005751016,.244403037,.454053245
2025-05-26 20:11:25,500,.484483010,.248012779,.523645475
2025-05-26 20:11:34,100,.986173120,.600749737,.404391687
2025-05-26 20:11:34,200,.481287508,.590797253,.942284817
2025-05-26 20:11:34,300,.974899384,.257494416,.506265741
2025-05-26 20:11:34,400,.730646128,.608081548,.884299305
2025-05-26 20:11:34,500,.732826047,.239533822,.748621974
